iter	Passed	Remaining
280	11747	30058
281	11788	30013
282	11826	29964
283	11870	29926
284	11912	29885
285	11957	29850
286	11998	29809
287	12041	29768
288	12081	29724
289	12123	29681
290	12162	29633
291	12202	29587
292	12242	29539
293	12284	29499
294	12328	29462
295	12368	29416
296	12410	29376
297	12454	29340
298	12497	29299
299	12537	29253
300	12579	29212
301	12620	29169
302	12663	29129
303	12706	29090
304	12749	29051
305	12792	29012
306	12836	28975
307	12878	28934
308	12920	28893
309	12963	28853
310	13005	28811
311	13048	28773
312	13087	28726
313	13128	28682
314	13168	28636
315	13207	28587
316	13248	28543
317	13291	28506
318	13334	28467
319	13378	28429
320	13421	28390
321	13463	28349
322	13507	28310
323	13550	28271
324	13592	28229
325	13631	28183
326	13670	28135
327	13708	28086
328	13751	28046
329	13792	28003
330	13835	27962
331	13876	27920
332	13919	27880
333	13957	27832
334	13999	27790
335	14041	27749
336	14080	27701
337	14119	27653
338	14156	27602
339	14194	27554
340	14232	27505
341	14274	27463
342	14317	27425
343	14360	27385
344	14404	27347
345	14447	27308
346	14489	27266
347	14531	27225
348	14573	27183
349	14615	27142
350	14656	27099
351	14695	27053
352	14734	27006
353	14774	26961
354	14816	26920
355	14856	26874
356	14896	26829
357	14934	26781
358	14973	26736
359	15013	26690
360	15053	26645
361	15096	26605
362	15133	26556
363	15175	26514
364	15217	26474
365	15261	26436
366	15303	26394
367	15344	26352
368	15387	26313
369	15430	26273
370	15473	26234
371	15516	26194
372	15559	26155
373	15602	26114
374	15642	26071
375	15684	26030
376	15728	25991
377	15770	25950
378	15809	25903
379	15850	25861
380	15891	25817
381	15934	25779
382	15977	25738
383	16019	25697
384	16058	25651
385	16098	25607
386	16141	25567
387	16183	25526
388	16222	25481
389	16262	25435
390	16301	25390
391	16342	25347
392	16383	25304
393	16424	25262
394	16468	25223
395	16510	25181
396	16552	25141
397	16591	25096
398	16629	25049
399	16668	25003
400	16712	24964
401	16753	24921
402	16796	24881
403	16838	24841
404	16880	24799
405	16927	24765
406	16965	24718
407	17007	24677
408	17051	24638
409	17096	24601
410	17138	24561
411	17180	24519
412	17222	24478
413	17264	24437
414	17307	24397
415	17349	24356
416	17392	24316
417	17435	24276
418	17478	24236
419	17522	24197
420	17565	24158
421	17606	24115
422	17649	24074
423	17690	24032
424	17734	23994
425	17773	23948
426	17812	23903
427	17875	23889
428	17923	23855
429	17964	23813
430	18008	23774
431	18052	23735
432	18091	23690
433	18134	23650
434	18176	23608
435	18216	23564
436	18256	23519
437	18299	23480
438	18338	23435
439	18377	23389
440	18419	23347
441	18459	23304
442	18501	23262
443	18543	23221
444	18582	23176
445	18625	23135
446	18669	23096
447	18710	23053
448	18750	23010
449	18794	22970
450	18836	22930
451	18875	22883
452	18918	22844
453	18960	22803
454	19004	22763
455	19045	22721
456	19083	22675
457	19124	22632
458	19166	22590
459	19208	22549
460	19251	22508
461	19293	22466
462	19335	22425
463	19378	22385
464	19421	22345
465	19464	22304
466	19507	22264
467	19550	22224
468	19593	22183
469	19636	22142
470	19678	22102
471	19720	22060
472	19765	22021
473	19806	21979
474	19849	21938
475	19890	21896
476	19932	21855
477	19974	21813
478	20017	21773
479	20061	21733
480	20103	21691
481	20146	21651
482	20189	21610
483	20229	21566
484	20271	21524
485	20310	21480
486	20352	21438
487	20393	21396
488	20435	21355
489	20478	21314
490	20519	21272
491	20562	21231
492	20605	21190
493	20647	21149
494	20685	21103
495	20724	21059
496	20766	21016
497	20811	20978
498	20852	20935
499	20891	20891
500	20931	20847
501	20974	20807
502	21017	20766
503	21061	20726
504	21101	20683
505	21143	20641
506	21184	20599
507	21227	20558
508	21268	20516
509	21312	20476
510	21355	20436
511	21398	20395
512	21440	20353
513	21481	20311
514	21523	20269
515	21562	20225
516	21600	20179
517	21639	20135
518	21680	20093
519	21720	20049
520	21764	20009
521	21806	19968
522	21849	19927
523	21890	19885
524	21932	19843
525	21975	19803
526	22016	19760
527	22056	19716
528	22094	19671
529	22131	19626
530	22170	19582
531	22209	19537
532	22250	19495
533	22290	19452
534	22329	19407
535	22371	19366
536	22413	19325
537	22456	19284
538	22498	19242
539	22541	19201
540	22579	19157
541	22618	19113
542	22657	19068
543	22699	19027
544	22741	18986
545	22781	18943
546	22821	18899
547	22859	18855
548	22898	18810
549	22938	18767
550	22977	18723
551	23023	18685
552	23066	18645
553	23105	18601
554	23143	18556
555	23182	18512
556	23222	18469
557	23261	18425
558	23306	18386
559	23348	18345
560	23392	18305
561	23436	18265
562	23476	18222
563	23517	18180
564	23556	18136
565	23599	18095
566	23639	18053
567	23683	18013
568	23725	17971
569	23768	17930
570	23807	17886
571	23849	17845
572	23887	17801
573	23926	17756
574	23966	17714
575	24006	17671
576	24049	17630
577	24091	17589
578	24135	17549
579	24177	17508
580	24216	17463
581	24255	17420
582	24293	17376
583	24336	17335
584	24378	17294
585	24421	17253
586	24466	17213
587	24507	17171
588	24547	17128
589	24589	17087
590	24632	17046
591	24673	17004
592	24715	16963
593	24758	16922
594	24801	16881
595	24841	16838
596	24882	16797
597	24927	16757
598	24970	16716
599	25014	16676
600	25055	16633
601	25094	16590
602	25133	16547
603	25177	16506
604	25219	16465
605	25262	16425
606	25304	16383
607	25347	16342
608	25385	16298
609	25423	16254
610	25463	16211
611	25504	16169
612	25546	16128
613	25588	16086
614	25631	16045
615	25669	16002
616	25713	15961
617	25755	15919
618	25797	15878
619	25839	15837
620	25882	15796
621	25925	15755
622	25967	15713
623	26009	15672
624	26050	15630
625	26094	15590
626	26141	15551
627	26185	15510
628	26226	15469
629	26267	15427
630	26309	15385
631	26351	15343
632	26397	15304
633	26438	15262
634	26479	15220
635	26520	15178
636	26565	15138
637	26607	15097
638	26650	15055
639	26693	15015
640	26736	14974
641	26779	14933
642	26823	14892
643	26864	14850
644	26902	14806
645	26941	14763
646	26982	14721
647	27025	14680
648	27064	14637
649	27106	14595
650	27149	14554
651	27189	14512
652	27232	14471
653	27272	14428
654	27313	14386
655	27358	14346
656	27400	14305
657	27443	14263
658	27486	14222
659	27527	14180
660	27569	14139
661	27611	14097
662	27655	14057
663	27693	14013
664	27735	13971
665	27776	13929
666	27818	13888
667	27861	13847
668	27904	13806
669	27946	13764
670	27987	13722
671	28027	13679
672	28069	13638
673	28108	13595
674	28147	13552
675	28190	13511
676	28232	13469
677	28275	13428
678	28319	13388
679	28362	13346
680	28403	13305
681	28446	13264
682	28488	13222
683	28528	13179
684	28570	13138
685	28608	13095
686	28651	13053
687	28693	13012
688	28736	12971
689	28779	12930
690	28822	12888
691	28864	12847
692	28905	12805
693	28948	12763
694	28990	12722
695	29034	12681
696	29075	12639
697	29118	12598
698	29159	12556
699	29199	12513
700	29237	12470
701	29276	12428
702	29319	12386
703	29362	12345
704	29405	12304
705	29445	12262
706	29489	12221
707	29532	12180
708	29570	12137
709	29612	12095
710	29654	12053
711	29692	12010
712	29731	11967
713	29771	11925
714	29810	11882
715	29850	11840
716	29891	11798
717	29933	11756
718	29977	11715
719	30020	11674
720	30058	11631
721	30097	11588
722	30136	11546
723	30174	11503
724	30213	11460
725	30256	11419
726	30299	11377
727	30341	11336
728	30383	11294
729	30423	11252
730	30462	11210
731	30502	11167
732	30544	11126
733	30587	11084
734	30627	11042
735	30666	10999
736	30706	10957
737	30749	10916
738	30793	10875
739	30836	10834
740	30879	10793
741	30921	10751
742	30964	10710
743	31003	10668
744	31043	10625
745	31081	10582
746	31119	10539
747	31161	10498
748	31203	10456
749	31243	10414
750	31281	10371
751	31319	10328
752	31362	10287
753	31405	10246
754	31448	10205
755	31491	10164
756	31533	10122
757	31576	10081
758	31618	10039
759	31660	9997
760	31704	9957
761	31745	9915
762	31789	9874
763	31833	9833
764	31878	9792
765	31920	9751
766	31962	9709
767	32006	9668
768	32048	9627
769	32088	9584
770	32127	9542
771	32166	9499
772	32209	9458
773	32250	9416
774	32291	9375
775	32333	9333
776	32372	9290
777	32412	9248
778	32454	9207
779	32496	9165
780	32541	9124
781	32582	9083
782	32626	9042
783	32668	9000
784	32711	8959
785	32754	8918
786	32795	8875
787	32835	8833
788	32876	8792
789	32915	8749
790	32956	8707
791	32997	8666
792	33040	8624
793	33082	8583
794	33120	8540
795	33159	8498
796	33203	8457
797	33245	8415
798	33288	8374
799	33328	8332
800	33366	8289
801	33408	8248
802	33450	8206
803	33492	8164
804	33530	8122
805	33569	8079
806	33609	8037
807	33653	7996
808	33695	7955
809	33736	7913
810	33776	7871
811	33814	7828
812	33855	7787
813	33898	7745
814	33941	7704
815	33982	7662
816	34026	7621
817	34069	7580
818	34111	7538
819	34154	7497
820	34196	7455
821	34235	7413
822	34276	7371
823	34316	7329
824	34356	7287
825	34397	7245
826	34436	7203
827	34478	7162
828	34524	7121
829	34568	7080
830	34610	7038
831	34654	6997
832	34695	6955
833	34739	6914
834	34782	6873
835	34825	6831
836	34867	6790
837	34907	6748
838	34949	6706
839	34993	6665
840	35036	6623
841	35083	6583
842	35128	6542
843	35174	6501
844	35218	6460
845	35260	6418
846	35304	6377
847	35344	6335
848	35386	6293
849	35430	6252
850	35472	6210
851	35516	6169
852	35556	6127
853	35597	6085
854	35638	6043
855	35681	6002
856	35724	5961
857	35767	5919
858	35811	5878
859	35853	5836
860	35898	5795
861	35938	5753
862	35981	5712
863	36025	5670
864	36068	5629
865	36110	5587
866	36153	5545
867	36197	5504
868	36242	5463
869	36284	5421
870	36337	5381
871	36379	5340
872	36421	5298
873	36465	5257
874	36507	5215
875	36551	5173
876	36594	5132
877	36636	5090
878	36676	5048
879	36718	5007
880	36761	4965
881	36802	4923
882	36845	4882
883	36884	4840
884	36924	4798
885	36968	4756
886	37010	4715
887	37048	4672
888	37088	4630
889	37127	4588
890	37170	4547
891	37209	4505
892	37248	4463
893	37291	4421
894	37333	4379
895	37373	4338
896	37415	4296
897	37455	4254
898	37495	4212
899	37538	4170
900	37581	4129
901	37622	4087
902	37663	4045
903	37707	4004
904	37748	3962
905	37791	3920
906	37833	3879
907	37875	3837
908	37916	3795
909	37956	3753
910	37998	3712
911	38040	3670
912	38083	3628
913	38124	3587
914	38165	3545
915	38206	3503
916	38247	3461
917	38291	3420
918	38334	3378
919	38375	3337
920	38413	3294
921	38454	3253
922	38496	3211
923	38534	3169
924	38577	3127
925	38622	3086
926	38664	3044
927	38706	3003
928	38745	2961
929	38786	2919
930	38827	2877
931	38871	2836
932	38911	2794
933	38951	2752
934	38992	2710
935	39037	2669
936	39079	2627
937	39121	2585
938	39163	2544
939	39201	2502
940	39240	2460
941	39278	2418
942	39321	2376
943	39362	2335
944	39405	2293
945	39443	2251
946	39487	2209
947	39529	2168
948	39572	2126
949	39615	2085
950	39657	2043
951	39702	2001
952	39743	1960
953	39787	1918
954	39826	1876
955	39868	1834
956	39910	1793
957	39952	1751
958	39991	1709
959	40035	1668
960	40075	1626
961	40118	1584
962	40160	1543
963	40199	1501
964	40240	1459
965	40279	1417
966	40322	1376
967	40365	1334
968	40406	1292
969	40450	1251
970	40493	1209
971	40534	1167
972	40578	1126
973	40616	1084
974	40654	1042
975	40694	1000
976	40734	958
977	40782	917
978	40820	875
979	40858	833
980	40901	792
981	40944	750
982	40983	708
983	41021	667
984	41063	625
985	41105	583
986	41146	541
987	41188	500
988	41230	458
989	41269	416
990	41310	375
991	41351	333
992	41389	291
993	41435	250
994	41480	208
995	41523	166
996	41563	125
997	41604	83
998	41648	41
999	41692	0
