iter	MultiClass
291	0.7364687781
292	0.7361265058
293	0.735501547
294	0.735200505
295	0.7346350052
296	0.7344146153
297	0.7338782376
298	0.7336171761
299	0.7331261965
300	0.732589306
301	0.7323173826
302	0.7319546576
303	0.7314974897
304	0.7310931266
305	0.7307394229
306	0.7303391521
307	0.7298325255
308	0.7294275891
309	0.7291365968
310	0.7286320442
311	0.7282998863
312	0.7280126326
313	0.727678324
314	0.7273196147
315	0.726944365
316	0.7264382371
317	0.7260000699
318	0.725533828
319	0.7249810662
320	0.7247412536
321	0.7244252086
322	0.7240333092
323	0.7236643446
324	0.7232357818
325	0.722936632
326	0.7226173696
327	0.7223054968
328	0.7216076792
329	0.7211550788
330	0.7208571549
331	0.7204387251
332	0.7200702916
333	0.7195032337
334	0.7191172291
335	0.71879223
336	0.7184707335
337	0.718136971
338	0.717720977
339	0.7173961794
340	0.7170892667
341	0.7168359924
342	0.7164527024
343	0.7160510801
344	0.7156672544
345	0.7153452352
346	0.7150499688
347	0.7145956659
348	0.714231538
349	0.7137033699
350	0.7132739436
351	0.7128666283
352	0.712620266
353	0.712355007
354	0.7120101897
355	0.7112890631
356	0.7109599846
357	0.7107260219
358	0.710367298
359	0.709691396
360	0.7093789455
361	0.7090138244
362	0.7084373967
363	0.7079509301
364	0.7075877437
365	0.7072262078
366	0.7069900856
367	0.7064845275
368	0.7061856509
369	0.7057689697
370	0.7054650246
371	0.7051590117
372	0.7049592766
373	0.7045273009
374	0.7041695832
375	0.7038326493
376	0.703338577
377	0.7030876011
378	0.7026792113
379	0.7023877642
380	0.7021636825
381	0.7019165612
382	0.7016222411
383	0.701220836
384	0.7009619782
385	0.7007479178
386	0.7004893187
387	0.7002560225
388	0.6997493138
389	0.6995204103
390	0.6993377232
391	0.6990284464
392	0.6985777686
393	0.6982554681
394	0.6980300921
395	0.6976988006
396	0.6972708227
397	0.6967156059
398	0.6962247108
399	0.6959355914
400	0.6957962794
401	0.6955213828
402	0.6952645859
403	0.694952142
404	0.6946088242
405	0.6942494917
406	0.6940288399
407	0.6938729017
408	0.6937199359
409	0.6932569622
410	0.6928897575
411	0.6926684127
412	0.692381012
413	0.6921038584
414	0.6918628249
415	0.6915408479
416	0.6911895081
417	0.6909571748
418	0.6907793495
419	0.6905184681
420	0.690240826
421	0.6900314227
422	0.6897776478
423	0.6889832007
424	0.6887923618
425	0.6884618369
426	0.6879433315
427	0.6876515789
428	0.6872955654
429	0.6870662304
430	0.6868351183
431	0.6865934476
432	0.6863003871
433	0.6860350679
434	0.685629117
435	0.6854173336
436	0.6850444853
437	0.6846939168
438	0.6843620977
439	0.6840667563
440	0.6839198777
441	0.6836173369
442	0.6834015217
443	0.6831571407
444	0.6829644049
445	0.6827069407
446	0.6824644946
447	0.6821393976
448	0.6818709329
449	0.6815645453
450	0.6812189506
451	0.6804228387
452	0.6801004337
453	0.6799024836
454	0.6796452062
455	0.6794032256
456	0.6791187661
457	0.6788713041
458	0.6785874462
459	0.6783448787
460	0.678126667
461	0.6778537838
462	0.6775357494
463	0.6772767173
464	0.6769465757
465	0.6767595512
466	0.6765522393
467	0.6762554476
468	0.6758448105
469	0.6756907512
470	0.6754774762
471	0.6752651988
472	0.6750134987
473	0.6746796406
474	0.6743322574
475	0.6740952587
476	0.6737682943
477	0.6736408429
478	0.6734442199
479	0.6732503309
480	0.6728332094
481	0.6725983433
482	0.6720939362
483	0.6719053106
484	0.6716425748
485	0.6713399312
486	0.6712000385
487	0.6709694711
488	0.6707983485
489	0.6705761571
490	0.6703569793
491	0.6699564459
492	0.6696574708
493	0.6694917036
494	0.6692046265
495	0.6690049098
496	0.6686843955
497	0.6684530627
498	0.6682080082
499	0.6678660402
500	0.6676211208
501	0.6674808631
502	0.6671668704
503	0.6669278167
504	0.6667226463
505	0.6661228079
506	0.6659747562
507	0.6658405019
508	0.6654358921
509	0.6652888712
510	0.6649362376
511	0.6647525483
512	0.6645799596
513	0.6642316498
514	0.6639878464
515	0.663810887
516	0.6635560281
517	0.6631401231
518	0.6629427837
519	0.6627183182
520	0.662512608
521	0.6623733072
522	0.6621956536
523	0.6619055753
524	0.6617176097
525	0.6613169127
526	0.6610870637
527	0.6609095996
528	0.6606655086
529	0.6604183201
530	0.660289337
531	0.6599883874
532	0.6596371689
533	0.6595042203
534	0.6592476025
535	0.6590491818
536	0.6587740996
537	0.65861456
538	0.6584539311
539	0.6581458567
540	0.6579107578
541	0.6577012164
542	0.6575260535
543	0.6573210134
544	0.6570093365
545	0.6567748745
546	0.6566138708
547	0.6563408866
548	0.6562221868
549	0.6560517792
550	0.6558405028
551	0.6553819483
552	0.6551629101
553	0.6549528838
554	0.6548279416
555	0.6544566528
556	0.654169238
557	0.6539933276
558	0.6537002838
559	0.6535117364
560	0.6533374285
561	0.6530099851
562	0.6528682122
563	0.6525906459
564	0.6522094143
565	0.6519863194
566	0.6517875195
567	0.6514913779
568	0.6512687587
569	0.6511057353
570	0.6508143999
571	0.6505052705
572	0.6502677438
573	0.6499892976
574	0.6497697451
575	0.6495289958
576	0.6492006862
577	0.6490039286
578	0.6488115421
579	0.6486447914
580	0.6482404125
581	0.6480972357
582	0.6478668833
583	0.6476661675
584	0.6475430896
585	0.6473404808
586	0.6469884647
587	0.6467976967
588	0.6466364801
589	0.6462420593
590	0.6459703275
591	0.6457708089
592	0.6453797814
593	0.6451526037
594	0.6449351241
595	0.6447869514
596	0.644619849
597	0.6444468831
598	0.6441922281
599	0.6439812273
600	0.6437124054
601	0.6436030707
602	0.6434018135
603	0.6431166073
604	0.6428901764
605	0.6427002851
606	0.6423981349
607	0.6421354858
608	0.6420030317
609	0.6418138901
610	0.6415981748
611	0.6414839881
612	0.6410534701
613	0.6407653238
614	0.640454109
615	0.6402360766
616	0.6399359646
617	0.6396178853
618	0.6394220357
619	0.6391988686
620	0.6387814624
621	0.6385165845
622	0.6383305485
623	0.638067698
624	0.6378697831
625	0.6376693284
626	0.6375257851
627	0.6372590104
628	0.6370391172
629	0.6368679207
630	0.6366404933
631	0.6363552427
632	0.6362204566
633	0.6360619612
634	0.6359129568
635	0.6356505907
636	0.6353867534
637	0.6352329562
638	0.6350939573
639	0.6349812043
640	0.6347460535
641	0.6344772924
642	0.6342590177
643	0.6339941861
644	0.6338182502
645	0.6337196833
646	0.6334446149
647	0.6332862838
648	0.6331076345
649	0.6327990854
650	0.632617832
651	0.6324049676
652	0.6322871195
653	0.6320593336
654	0.6316847281
655	0.6315108982
656	0.6313841235
657	0.6311914879
658	0.6309791101
659	0.6308317252
660	0.630562948
661	0.6303119818
662	0.6300227268
663	0.6295507313
664	0.6294295551
665	0.6290151083
666	0.6288303865
667	0.6286262805
668	0.6283465471
669	0.6281536257
670	0.6279225372
671	0.6277395485
672	0.6275315748
673	0.6273107023
674	0.6271264806
675	0.6269297344
676	0.626454734
677	0.6262522438
678	0.6260288261
679	0.6258764434
680	0.6257314275
681	0.6255470996
682	0.6253176229
683	0.6252110874
684	0.6248550979
685	0.6246748353
686	0.6243657323
687	0.6241894356
688	0.6240553637
689	0.6238351318
690	0.6236292716
691	0.6235206792
692	0.6232957273
693	0.6230885944
694	0.6228464994
695	0.6226611678
696	0.6225194323
697	0.6223648743
698	0.6222605995
699	0.6221295591
700	0.6217985937
701	0.6214909574
702	0.6214021763
703	0.6212163767
704	0.6210614024
705	0.6209011425
706	0.6207554882
707	0.6205108035
708	0.6202861815
709	0.6199728792
710	0.6197696381
711	0.6196066151
712	0.6194543962
713	0.6192860019
714	0.6190705811
715	0.6189067788
716	0.6187604368
717	0.6185950375
718	0.6184205131
719	0.6181577138
720	0.6178583495
721	0.6176539992
722	0.6174584454
723	0.6173124657
724	0.6170595224
725	0.6169549923
726	0.6167530913
727	0.6166138482
728	0.6164637128
729	0.6162576888
730	0.6159114907
731	0.6157507766
732	0.6156030533
733	0.6154592766
734	0.615229839
735	0.615044163
736	0.6149413066
737	0.6147780238
738	0.614573088
739	0.6144868438
740	0.6142446784
741	0.6141254829
742	0.614019019
743	0.6138605773
744	0.6136463969
745	0.6133820262
746	0.6132217362
747	0.6130636366
748	0.6129110364
749	0.6127351263
750	0.612587344
751	0.6124767851
752	0.6122443821
753	0.6121232952
754	0.6119503622
755	0.6117008205
756	0.6115919684
757	0.6113731891
758	0.6112588588
759	0.6110732409
760	0.6108760953
761	0.6106618308
762	0.6105179595
763	0.6102980043
764	0.6101887769
765	0.6099811764
766	0.6098208239
767	0.6095760267
768	0.6094213319
769	0.6092850808
770	0.6090694288
771	0.6089676004
772	0.6088173219
773	0.6086672961
774	0.6085182112
775	0.6082814892
776	0.6081119112
777	0.6079194602
778	0.6077315972
779	0.6075967367
780	0.6074720578
781	0.6072961624
782	0.6071668675
783	0.6069613296
784	0.6068524762
785	0.6067033184
786	0.606543032
787	0.6064534595
788	0.6063195862
789	0.6061958407
790	0.6060599049
791	0.6056995007
792	0.6055292592
793	0.6053578676
794	0.6050528184
795	0.604882312
796	0.604673141
797	0.6045672096
798	0.6044220354
799	0.6043057514
800	0.6041185843
801	0.6039979305
802	0.6038133316
803	0.6036703579
804	0.6035145268
805	0.6033283494
806	0.603105272
807	0.6029720097
808	0.6028376001
809	0.6025733951
810	0.6024611071
811	0.6022902712
812	0.6021838084
813	0.6019726985
814	0.6017592585
815	0.6015275636
816	0.6013500557
817	0.6012215326
818	0.6010828779
819	0.6009722772
820	0.6008225122
821	0.6006852573
822	0.6004887527
823	0.6003609851
824	0.6002495003
825	0.6001204426
826	0.5999453269
827	0.5998253822
828	0.5996444775
829	0.5994932766
830	0.5992598255
831	0.5991450003
832	0.5990034693
833	0.5988682467
834	0.5985901666
835	0.5984221675
836	0.5982918836
837	0.5980721879
838	0.5979206091
839	0.5976898141
840	0.5974836336
841	0.5973434867
842	0.5972271666
843	0.5970536477
844	0.5969285082
845	0.5967873854
846	0.5966561829
847	0.5965499639
848	0.5963614721
849	0.5961687831
850	0.5960441863
851	0.5959046405
852	0.5958057189
853	0.595643624
854	0.595542141
855	0.5954049652
856	0.5952201025
857	0.5951121556
858	0.5949319241
859	0.5947394269
860	0.5945959728
861	0.5943703243
862	0.5942338722
863	0.5941511967
864	0.5939576516
865	0.5938426414
866	0.5937105175
867	0.5933120288
868	0.5931303301
869	0.5929736044
870	0.5926943345
871	0.5925913146
872	0.592447254
873	0.5923218115
874	0.5921752697
875	0.5920681375
876	0.5919158017
877	0.591794618
878	0.5915967758
879	0.5914278875
880	0.5913251598
881	0.5912226267
882	0.5909937032
883	0.5908512171
884	0.5906969744
885	0.5905014052
886	0.5903305633
887	0.5901063894
888	0.5899743982
889	0.5898118068
890	0.5896691113
891	0.5895693008
892	0.589266258
893	0.5891133957
894	0.58901497
895	0.5889362818
896	0.5887475731
897	0.5885248247
898	0.5884220363
899	0.5882555614
900	0.5880441501
901	0.5879425191
902	0.5878101613
903	0.5876645602
904	0.5875511904
905	0.5874550459
906	0.5872920751
907	0.5871695625
908	0.5869875347
909	0.5868557727
910	0.5866498153
911	0.5864749519
912	0.586259008
913	0.5860970259
914	0.5859786726
915	0.5857908724
916	0.5856976553
917	0.5855489957
918	0.5853079238
919	0.5851609162
920	0.5849864937
921	0.5848731109
922	0.5845219271
923	0.5844296629
924	0.5842770292
925	0.5841854312
926	0.5839645845
927	0.5836954095
928	0.5835548318
929	0.5833815562
930	0.5832267967
931	0.5831329067
932	0.5829855737
933	0.5828071059
934	0.5826584468
935	0.5824842489
936	0.5823157248
937	0.5821074318
938	0.5820022776
939	0.5819374282
940	0.5817684135
941	0.5815677717
942	0.5814007356
943	0.5812019603
944	0.5811012969
945	0.5809766539
946	0.5808567807
947	0.5807064003
948	0.5805950958
949	0.5803218488
950	0.5802325699
951	0.5801436082
952	0.58002636
953	0.5799088905
954	0.5797595613
955	0.5795790278
956	0.5794224771
957	0.5792523485
958	0.5791694588
959	0.578867845
960	0.5787235175
961	0.5785540117
962	0.5784164451
963	0.5783386049
964	0.5781551934
965	0.5780232501
966	0.5778420201
967	0.5776651283
968	0.5774594516
969	0.5773437732
970	0.5772480518
971	0.5771550072
972	0.5770140584
973	0.5769083483
974	0.5767771179
975	0.5766122557
976	0.5764691765
977	0.5763555856
978	0.5762643933
979	0.5761481168
980	0.5760104419
981	0.5758953139
982	0.5757991325
983	0.5756928533
984	0.575611294
985	0.5754647345
986	0.5752879261
987	0.5752193344
988	0.5750316139
989	0.5748377508
990	0.574619435
991	0.5745081516
992	0.5743870089
993	0.5740347894
994	0.5738540507
995	0.5737743821
996	0.5735701533
997	0.573422039
998	0.5732032691
999	0.5731049838
